Serial,Polish,English,Pronunciation
1, Kto to jest , Who is this?, Kto to yest
2, Pamiętam , I remember, Paa-mie(n)-entam
3, Czytamy , To read, Chetame
4, Ale , But, Aale
5, Dlaczego , Why, Dlachego
6, Zły , Bad, Zwee
7, Zeszyt , Notebook, Zesh-zet
8, Gumka , Eraser
9, Płyn , Liquid, Pwin
10, Długopis , Pen , Dwoo-go-pis
11, Okno , Window, Okno
12, Klucz , Key, Kluch
13, Książka , Book, Kshyanka
14, Tablica , Board, Taa-blee-tsa
15, Krzesło , Chair, Ksheshwo
16, Segregator , Folder
17, Kubek , Mug
18, Gumka , Eraser
19, Mapa , Map
20, Znany , Known / Famous, 
21, Nieznany , Unknown, 
22, Znajomy , Friend, Znayome
23, To jest Komórka , This is a cellphone
24, A co to jest? , And what is this?, Aa so to yest?
24, To jestem ja , This is me, To yestem ya
25, Koleżanka , Classmate, Kolezhanka
26, Wakacje , Holidays, Vakatsye
27, Zdjęcie , Photo, 
28, Prawda , Truth
29, Fałsz , Lie
30, Modna , Fashionable
31, Nic Specjalnego , Nothing special, Nits Spets-yalnego
32, Ołówek , Pencil
33, Mam tylko jeden , I have only one
34, Ja mam długopis , I have a pen
35, Mami , Mom
36, Tati , Dad
37, Przystojny , Handsome
38, I co tam jest? , And what's there?
39, Mam Pyntanie , I have a question
40, Modne , Fashionable
41, Rodzaj , Kind
42, Nijaki , Neutral
43, Na Początku , At the beginning
44, Na końcu , At the end, Naa koen-tsu
45, Miły , Nice, Meewe
46, Bogaty , Rich
47, Biedny , Poor
48, Pomarańczowy , Orange
49, Zielony , Green
50, Rozowy , Pink
51, Niebieski , Blue
52, Czerwony , Red
53, Granatowy , Navy Blue
54, Brązowy , Brown
55, Szary , Grey
56, Srebrny , Silver
57, Złoty , Gold
58, Czarny , Black
59, Biały , White
60, Żółty , Yellow
61, Jak się masz? , How are you?
62, Dobrze , Good
63, Źle , Bad
64, Słowa , Words
65, Zdania , Sentences
66, Czytamy , We read
67, Ta Komórka , This cellphone
68, Ten artysta jest przystojny , This artist is handsome 
69, Ta pani jest bogata , This lady is rich
70, Stolik , Table
71, Ta gumka jest różowa , This eraser is pink
72, Ta Komórka jest czarna , This cellphone is black
73, Ta torba jest fioletowa , This bag is purple
74, Ten Klucz jest srebrny , This key is silver
75, Pantera , Panther
76, Humor , Mood
77, Niebo , Sky
78, Czy to jest kawa? , Is this coffee?
79, Ołowek jest szara , The pencil is grey
80, Znam Angielski , I know English
81, Co to znaczy? , What does it mean?
82, Zart , Joke
83, Pamiętam , I remember
84, Ale , But
85, świetnie , Great
86, Trochę , A little
87, Wiem , I know
88, Rację , Right
89, Mnie Też , Me too
90, i teraz , And now
